,text,label
0,kunjungan prabowo meresmikan menyerahkan proyek bantuan air bersih titik prabowo subianto,Sumber Daya Alam
1,anies tepuk tangan meriah rektor mewajibkan mata kuliah anti korupsi memutus mata rantai korupsi,Politik
2,sih pendukung bodoh dg pendukung ridwan kamil skemanya terbalik mayoritas pendidikan menengah pendidikan rendah milih,Demografi
3,anies bersikap kritis kinerja prabowo dianggap engga sopan dianggap menghormati orang tua giliran skrg gibran menyebalkan sok kritis dianggap kritis keras standar ganda,Politik
4,anies baswedan harap asn tni polri pegang sumpahnya pemilu,Politik
5,duh lurah denger acara hajatan rakyat puluhan ribu warga kendal serukan ganjar presiden kehadiran magnet puluhan ribu warga menghadiri hajatan rakyat ganjar mahfud besarnya antusiasme warga bukti jawa kandang banteng,Politik
6,prabowo kemenhan tim satgas air unhan kaji bantuan air sukabumi dekade prabowo gibran,Pertahanan dan Keamanan
7,anies ya allah sibukkanlah orang zalim kejahatan orang zalim,Politik
8,abah bapa bapa perhatian pendidikan anak anak papua pintar pintar gerakan indonesia mengajar lupakan warga papua bapa anies presiden,Politik
9,bawaslu dimaki jancuk warga gara mencopot spanduk ganjar mahfud spanduk capres dicopot bawaslu tim sukses,Politik
10,isu basi terkait fakta anies mengganti pancasila sistem khilafah terkait toleransi penganut agama anies blunder data rumah ibadah jakarta anies mengkhianati prabowo capres kebenaran fakta disangkal niat jahat nafsu kepentingan pribadi seringkali buta mata hati buta,Ideologi
11,ganjar pranowo mahfud md menekankan persiapan kebutuhan dasar alutsista matra darat laut udara ganjar mahfud mnang,Pertahanan dan Keamanan
12,calon presiden capres nomor urut anies baswedan kemampuannya menghadapi debat ketiga debat ketiga tema pertahanan keamanan hubungan internasional geopolitik download app store play store,Pertahanan dan Keamanan
13,capres ganjar pranowo rencana bersinergi perguruan program membawa perubahan positif,Politik
14,pendapatan apbd jumbo indonesia mencapai rp,Ekonomi
15,kenyataan timbul menghancurkan pribadi isinya penuh kebencian ayahbowo adalahkita menimbulkan dampak emosional pemilih dukungantulus,Politik
16,mas ganjar bawa data berdasar data prabowo bilang data mas ganjar salah prabowo bilang datanya salah wajar mas ganjar data gak urusan singkat,Politik
17,trending on twitter x anies bubble meroket fenomena fans k pop join amin isme,Sosial Budaya
18,wait wait bukti anies politik identitas ahok terang terangan pemilihan kepala daerah memantik perselisihan password wifi kafir berpikir adil sulit,Politik
19,siti atikoh mengunjungi kantor tpd ganjar mahfud sumatera selatan atikoh kejutan penyandang tuna rungu simpatisan ganjar mahfud tuna rungu nasional atikoh kejutan kaos warna merah bertuliskan negara indonesia kejutan atikoh diajarkan bahasa isyarat,Politik
20,abah anies mengangkat martabat petani menerus menerima bansos penghasilannya,Sosial Budaya
21,calon presiden ri ganjar pranowo mahfud md regulasi hukum investasi mudah dipahami,Politik
22,michael gaya bicara keras terkesan emosional berisi prabowo kekerasan militer orang sifatnya lurah bu hesti anies deserve better asnawi videotron pegang miftah papua amien rais,Politik
23,paslon ganjar pranowo mahfud md regulasi hukum investor indonesia bersahabat terukur,Politik
24,anies sosok ayah penuh kehangatan mmg sosok ayah penuh kehangatan lihat dlm tayangan video tangannya lentur banget menggendong anak luwes kaku anak anaknya merasakan gendongan pelukan pelukan beliau kekuatan sejati ketenangan pelukan ayah,Pertahanan dan Keamanan
25,capres ganjar pranowo main main kolaborasi perguruan program edukatif oke,Politik
26,projo kawal prabowo gibran menang putaran,Politik
27,semangat mnddukung mu ganjar mahfud hebat,Politik
28,anies sesuai selera masyarakat sumatera barat,Sosial Budaya
29,abah anies baswedan amp fery farhati pekanbaru kampanye akbar,Politik
30,atikoh beberkan solusi ganjar mahfud atasi harga pangan,Politik
31,giliran buruh soloraya deklarasi dukung prabowo gibran soloraya,Politik
32,capres cawapres ganjar pranowo mahfud md mengajak bersatu menjaga konstitusi aturan dasar negara,Ideologi
33,raja dangdut haji rhoma irama seni film anies terpilih presiden desak anies amp slepet imin ji expo kemayoran jakarta pusat senin januari,Politik
34,capres ganjar pranowo ruang masyarakat masukan saran evaluasi pasal karet uu ite,Politik
35,musuh utama gen z anies bertekad basmi praktik ordal penerimaan tenaga kerja sektor swasta amp pemerintahan dg penegakan aturan,Politik
36,debat capres cawapres anies nilai kemenhan melaksanakan kebijakan nilainya menteri layak paslon,Politik
37,pasangan duet capres cawapres ganjar pranowo mahfud md motor perubahan kredit koprasi umkm andalan bisnis lokal sukses teman teman jna,Ekonomi
38,anak muda indonesia the future of this nation is in your hand it s the time for change anies for president teman adu ide amp gagasan tunjukan karya karya anies perubahan indonesia,Ideologi
39,anies s post has reached likes and on dialog capres w kadin tvonenews youtube in days hour minutes it is the fastest and highest post to reach likes and m likes among capres s members,Sosial Budaya
40,according to prabowo gaza is opressed because they don t have a sufficient military power this is such a tone deaf statement coming from a minister of defense,Pertahanan dan Keamanan
41,kejam warga disitu bersedia dibangun jis janji anies memabngun rumah susun stlh rumah terbangun mrk ga haknya anies gubernur menepati janjinya kampung akuarium kampung kunir lain-lain salah rakyat rumah,Sosial Budaya
42,prabowo gibran terapkan program melancarkan ekonomi biru internasional kontan,Ekonomi
43,viral anies baswedan ancaman penembakan tim hukum amin tempuh jalur hukum,Pertahanan dan Keamanan
44,kasihan pendukung prabowo dibela belain masuk penjara gak diakui,Politik
45,ayo ganjar tuntaskan permasalahan indonesia mnang semuakerja ganjar mahfud hebat ayahbowo adalahkita,Politik
46,wiranto langsung bergerak cepat dukungan prabowo gibran,Politik
